X;Z;Interestingness;
160;15;0.0990099;
160;20;0.1237624;
160;25;0.0990099;
160;30;0.1237624;
160;35;0.1237624;
160;40;0.0990099;
160;45;0.1237624;
160;50;0.1237624;
160;55;0.1485149;
160;60;0.1485149;
160;65;0.1485149;
160;70;0.1237624;
160;75;0.1237624;
160;80;0.1237624;
160;85;0.1237624;
160;90;0.1237624;
160;165;0.1237624;
165;0;0.1237624;
165;5;0.1237624;
165;10;0.1237624;
165;15;0.1237624;
165;20;0.1237624;
165;25;0.1237624;
165;30;0.1237624;
165;35;0.1237624;
165;40;0.1237624;
165;45;0.1237624;
165;50;0.0990099;
165;55;0.1485149;
165;60;0.1485149;
165;65;0.1485149;
165;70;0.1485149;
165;75;0.1485149;
165;80;0.1485149;
165;85;0.1485149;
165;90;0.1485149;
165;95;0.1485149;
165;100;0.1485149;
165;105;0.1485149;
165;165;0.1485149;
170;0;0.1237624;
170;5;0.1237624;
170;10;0.1237624;
170;15;0.1237624;
170;20;0.1237624;
170;25;0.1237624;
170;30;0.1237624;
170;35;0.1237624;
170;40;0.1237624;
170;45;0.1237624;
170;50;0.1237624;
170;55;0.1237624;
170;60;0.1485149;
170;65;0.1485149;
170;70;0.1485149;
170;75;0.1485149;
170;80;0.1485149;
170;85;0.1485149;
170;90;0.1485149;
170;95;0.1485149;
170;100;0.1485149;
170;105;0.1485149;
170;110;0.1485149;
170;115;0.1485149;
170;120;0.1485149;
170;135;0.1485149;
170;140;0.1485149;
170;145;0.1485149;
170;150;0.1485149;
170;155;0.1485149;
170;160;0.1485149;
175;0;0.1237624;
175;5;0.1237624;
175;10;0.1237624;
175;15;0.1237624;
175;20;0.1237624;
175;25;0.1237624;
175;30;0.1237624;
175;35;0.1237624;
175;40;0.1237624;
175;45;0.1237624;
175;50;0.1237624;
175;55;0.1237624;
175;60;0.1237624;
175;65;0.1237624;
175;70;0.1485149;
175;75;0.1485149;
175;80;0.1485149;
175;85;0.1485149;
175;90;0.1485149;
175;95;0.1485149;
175;100;0.1485149;
175;105;0.1485149;
175;110;0.1485149;
175;115;0.1485149;
175;120;0.1485149;
175;125;0.1485149;
175;130;0.1485149;
175;135;0.1485149;
175;140;0.1485149;
175;145;0.1485149;
175;150;0.1485149;
175;170;0.1237624;
180;0;0.1237624;
180;5;0.1237624;
180;10;0.1237624;
180;15;0.1237624;
180;20;0.1237624;
180;25;0.1237624;
180;30;0.1237624;
180;35;0.1237624;
180;40;0.1237624;
180;45;0.1237624;
180;50;0.1237624;
180;55;0.1237624;
180;60;0.1237624;
180;65;0.1237624;
180;70;0.1237624;
180;75;0.0990099;
180;80;0.1485149;
180;85;0.1485149;
180;90;0.1485149;
180;95;0.1485149;
180;100;0.1485149;
180;105;0.1485149;
180;110;0.1485149;
180;115;0.1485149;
180;120;0.1485149;
180;125;0.1485149;
180;130;0.1485149;
180;135;0.1485149;
180;140;0.1485149;
180;145;0.1485149;
180;150;0.1485149;
180;170;0.1237624;
185;0;0.1237624;
185;5;0.1237624;
185;10;0.1237624;
185;15;0.1237624;
185;20;0.1237624;
185;25;0.1237624;
185;30;0.1237624;
185;35;0.1237624;
185;40;0.1237624;
185;45;0.1237624;
185;50;0.1237624;
185;55;0.1237624;
185;60;0.1237624;
185;65;0.1237624;
185;70;0.1237624;
185;75;0.1237624;
185;80;0.1237624;
185;85;0.1485149;
185;90;0.1485149;
185;95;0.1485149;
185;100;0.1485149;
185;105;0.1485149;
185;110;0.1485149;
185;115;0.1485149;
185;120;0.1485149;
185;125;0.1485149;
185;130;0.1485149;
185;135;0.1485149;
185;140;0.1485149;
185;145;0.1485149;
185;150;0.1485149;
185;170;0.1237624;
190;0;0.1237624;
190;5;0.1237624;
190;10;0.1237624;
190;15;0.1237624;
190;20;0.1237624;
190;25;0.1237624;
190;30;0.1237624;
190;35;0.1237624;
190;40;0.1237624;
190;45;0.1237624;
190;50;0.1237624;
190;55;0.1237624;
190;60;0.1237624;
190;65;0.1237624;
190;70;0.1237624;
190;75;0.1237624;
190;80;0.1237624;
190;85;0.1237624;
190;90;0.1237624;
190;95;0.1485149;
190;100;0.1485149;
190;105;0.1485149;
190;110;0.1485149;
190;115;0.1485149;
190;120;0.1485149;
190;125;0.1485149;
190;130;0.1485149;
190;135;0.1485149;
190;140;0.1485149;
190;145;0.1485149;
190;150;0.1485149;
190;170;0
