Coord;Interestingness
(8.9, 1.6, 188.4);5.81546E-05
(7.9, 1.6, 188.7);5.801896E-05
(7.0, 1.5, 188.9);5.788395E-05
(6.0, 1.5, 189.2);5.774958E-05
(5.1, 1.5, 189.5);5.761582E-05
(4.1, 1.4, 189.8);5.748268E-05
(3.1, 1.4, 190.1);5.735016E-05
(2.2, 1.4, 190.4);5.721824E-05
(1.2, 1.4, 190.7);5.708693E-05
(0.3, 1.3, 191.0);5.695622E-05
(-0.7, 1.3, 191.3);5.682611E-05
(-0.1, 0.8, 179.5);5.669659E-05
(-0.2, 1.0, 178.5);5.656766E-05
(-0.3, 1.1, 177.5);2.823567E-05
(-0.4, 1.2, 176.6);2.820365E-05
(-0.5, 1.3, 175.6);5.631155E-05
(-0.6, 1.5, 174.6);5.618437E-05
(-0.7, 1.6, 173.6);2.804467E-05
(-0.8, 1.7, 172.6);2.801309E-05
(-0.9, 1.9, 171.6);5.593171E-05
(-0.9, 2.0, 170.6);2.791877E-05
(-1.0, 2.1, 169.6);5.574371E-05
(-1.1, 2.3, 168.7);2.782508E-05
(-1.2, 2.4, 167.7);2.779399E-05
(-1.3, 2.5, 166.7);2.776297E-05
(-1.4, 2.7, 165.7);5.543316E-05
(-2.4, 3.0, 165.9);8.291881E-05
(-3.4, 3.0, 166.1);5.512605E-05
(-4.4, 3.0, 166.3);8.246069E-05
(-5.3, 3.0, 166.5);5.482232E-05
(-6.3, 3.1, 166.7);5.470177E-05
(-7.3, 3.1, 166.9);5.458174E-05
(-8.3, 3.1, 167.1);8.164872E-05
(-8.3, 3.1, 166.1);5.428397E-05
(-8.3, 3.1, 165.1);5.416577E-05
(-8.3, 3.1, 164.1);5.404808E-05
(-8.3, 3.0, 163.1);8.085257E-05
(-8.3, 3.0, 162.1);5.375608E-05
(-8.4, 3.0, 161.1);5.364017E-05
(-8.4, 2.9, 160.1);8.0244E-05
(-8.4, 2.9, 159.1);5.335255E-05
(-8.4, 2.9, 158.1);5.323837E-05
(-8.4, 2.9, 157.1);5.312467E-05
(-8.4, 2.8, 156.1);5.301146E-05
(-8.4, 2.8, 155.1);7.930597E-05
(-8.4, 2.8, 154.1);0.0001053495
(-8.5, 2.8, 153.1);0.0001049052
(-8.5, 2.7, 152.1);0.0001044647
(-8.5, 2.7, 151.1);0.0001040278
(-8.5, 2.7, 150.1);0.000129426
(-8.5, 2.6, 149.1);0.0001544275
(-8.5, 2.6, 148.1);0.0001534747
(-8.5, 2.6, 147.1);0.0001271762
(-8.5, 2.6, 146.1);0.0001517582
(-8.6, 2.5, 145.1);0.0001257617
(-8.6, 2.5, 144.1);0.0001500796
(-8.6, 2.5, 143.1);0.0001491796
(-8.6, 2.4, 142.1);0.0001482903
(-8.6, 2.4, 141.1);0.0001474115
(-8.6, 2.4, 140.1);0.0001465431
(-8.6, 2.4, 139.1);0.0001456849
(-8.6, 2.3, 138.1);0.0001448366
(-8.7, 2.3, 137.1);0.0001439982
(-8.7, 2.3, 136.1);0.0001431694
(-8.9, 4.2, 137.1);0.0001423502
(-9.0, 4.1, 138.1);0.0001415402
(-9.2, 3.9, 139.0);0.0001641187
(-9.4, 3.8, 140.0);0.0001398165
(-9.6, 3.6, 141.0);0.000139035
(-9.8, 3.5, 141.9);0.0001612314
(-10.0, 3.3, 142.9);0.0001373715
(-10.2, 3.2, 143.9);0.0001593138
(-10.4, 3.0, 144.8);0.0001357472
(-10.6, 2.8, 145.8);0.0001350105
(-10.8, 2.7, 146.8);0.0001342817
(-10.9, 2.5, 147.8);0.0001113503
(-11.1, 2.4, 148.7);8.872277E-05
(-11.3, 2.2, 149.7);6.633502E-05
(-11.5, 2.1, 150.7);6.61586E-05
(-11.7, 1.9, 151.6);6.598311E-05
(-11.9, 1.8, 152.6);6.580856E-05
(-12.1, 1.6, 153.6);6.563492E-05
(-12.3, 1.4, 154.5);6.54622E-05
(-12.5, 1.3, 155.5);6.529038E-05
(-12.6, 1.1, 156.5);4.343191E-05
(-12.8, 1.0, 157.4);4.335621E-05
(-13.0, 0.8, 158.4);4.328078E-05
(-13.2, 0.7, 159.4);4.32056E-05
(-13.4, 0.5, 160.4);4.313069E-05
(-13.6, 0.4, 161.3);4.305604E-05
(-13.8, 0.2, 162.3);4.298164E-05
(-14.0, 0.1, 163.3);6.433354E-05
(-14.2, -0.1, 164.2);4.279678E-05
(-14.4, -0.3, 165.2);4.272327E-05
(-14.5, -0.4, 166.2);4.265002E-05
(-14.7, -0.6, 167.1);4.257702E-05
(-14.9, -0.7, 168.1);4.250427E-05
(-15.1, -0.9, 169.1);4.243177E-05
(-15.3, -1.0, 170.1);4.235952E-05
(-15.5, -1.2, 171.0);4.228751E-05
(-15.7, -1.3, 172.0);4.221574E-05
(-15.9, -1.5, 173.0);4.214422E-05
(-16.1, -1.7, 173.9);4.207294E-05
(-16.2, -1.8, 174.9);4.20019E-05
(-16.4, -2.0, 175.9);4.19311E-05
(-15.8, 0.3, 176.6);4.186054E-05
(-15.1, 0.3, 177.3);4.179022E-05
(-14.4, 0.4, 178.0);4.172013E-05
(-13.7, 0.4, 178.8);4.165027E-05
(-13.0, 0.4, 179.5);4.158065E-05
(-12.3, 0.5, 180.2);4.151127E-05
(-11.6, 0.5, 180.9);4.144211E-05
(-10.9, 0.6, 181.7);4.137318E-05
(-10.3, 0.6, 182.4);4.130448E-05
(-9.6, 0.6, 183.1);4.123601E-05
(-8.9, 0.7, 183.9);4.116777E-05
(-8.2, 0.7, 184.6);4.109975E-05
(-7.5, 0.8, 185.3);4.103196E-05
(-6.8, 0.8, 186.0);4.096439E-05
(-6.1, 0.8, 186.8);4.089704E-05
(-5.4, 0.9, 187.5);4.082992E-05
(-4.8, 0.9, 188.2);4.076301E-05
(-4.1, 0.9, 188.9);4.069632E-05
(-3.4, 1.0, 189.7);4.062985E-05
(-2.7, 1.0, 190.4);4.056359E-05
(-1.5, 1.0, 179.4);4.049756E-05
(-1.2, 1.0, 178.5);2.022408E-05
(-0.8, 1.1, 177.6);4.03989E-05
(-0.5, 1.2, 176.6);2.017488E-05
(-0.1, 1.2, 175.7);4.030073E-05
(0.3, 1.3, 174.8);4.023554E-05
(0.6, 1.3, 173.8);4.017057E-05
(1.0, 1.4, 172.9);4.010581E-05
(1.3, 1.4, 172.0);4.004125E-05
(1.7, 1.5, 171.0);3.99769E-05
(2.1, 1.5, 170.1);3.991276E-05
(2.4, 1.6, 169.2);3.984882E-05
(2.8, 1.6, 168.2);3.978509E-05
(3.1, 1.7, 167.3);3.972156E-05
(3.5, 1.8, 166.4);3.965823E-05
(3.8, 1.8, 165.4);3.959511E-05
(4.2, 1.9, 164.5);3.953218E-05
(4.6, 1.9, 163.6);3.946946E-05
(4.9, 2.0, 162.6);3.940693E-05
(5.3, 2.0, 161.7);3.93446E-05
(5.6, 2.1, 160.8);1.964899E-05
(6.0, 2.1, 159.9);3.925148E-05
(6.4, 2.2, 158.9);5.876133E-05
(6.7, 2.2, 158.0);5.862286E-05
(7.1, 2.3, 157.1);7.794952E-05
(7.4, 2.4, 156.1);9.709466E-05
(7.8, 2.4, 155.2);9.671715E-05
(8.2, 2.5, 154.3);5.785031E-05
(8.5, 2.5, 153.3);5.771608E-05
(8.9, 2.6, 152.4);9.589688E-05
(9.2, 2.6, 151.5);9.552862E-05
(9.6, 2.7, 150.5);9.516316E-05
(10.0, 2.7, 149.6);9.48005E-05
(10.3, 2.8, 148.7);3.781927E-05
(10.7, 2.8, 147.7);3.776186E-05
(11.0, 2.9, 146.8);3.770462E-05
(11.4, 3.0, 145.9);3.764756E-05
(11.8, 3.0, 144.9);3.759067E-05
(12.1, 3.1, 144.0);3.753395E-05
(12.5, 3.1, 143.1);3.74774E-05
(12.8, 3.2, 142.2);3.742102E-05
(13.2, 3.2, 141.2);3.736481E-05
(13.5, 3.3, 140.3);3.730878E-05
(13.9, 3.3, 139.4);3.72529E-05
(14.3, 3.4, 138.4);3.71972E-05
(14.6, 3.4, 137.5);3.714166E-05
(15.0, 3.5, 136.6);3.708628E-05
(15.3, 3.6, 135.6);3.703108E-05
(15.7, 3.6, 134.7);3.697603E-05
(16.1, 3.7, 133.8);3.692115E-05
(15.2, 4.3, 134.3);3.686643E-05
(14.3, 4.3, 134.8);3.681187E-05
(13.5, 4.3, 135.3);3.675748E-05
(12.6, 4.3, 135.8);5.503458E-05
(11.8, 4.2, 136.3);5.491309E-05
(10.9, 4.2, 136.8);5.479214E-05
(10.0, 4.2, 137.3);5.467172E-05
(9.2, 4.2, 137.8);5.455182E-05
(8.3, 4.2, 138.3);5.443245E-05
(7.5, 4.2, 138.8);7.239181E-05
(6.6, 4.1, 139.4);7.218176E-05
(5.7, 4.1, 139.9);7.197291E-05
(4.9, 4.1, 140.4);7.176527E-05
(4.0, 4.1, 140.9);8.941641E-05
(3.1, 4.1, 141.4);8.909615E-05
(2.3, 4.1, 141.9);7.104788E-05
(1.4, 4.0, 142.4);5.315306E-05
(0.6, 4.0, 142.9);8.833681E-05
(-0.3, 4.0, 143.4);8.802422E-05
(-1.2, 4.0, 143.9);8.771384E-05
(-2.0, 4.0, 144.4);6.994906E-05
(-2.9, 4.0, 144.9);0.0001045562
(-3.7, 3.9, 145.5);8.679569E-05
(-4.6, 3.9, 146.0);0.0001037566
(-5.5, 3.9, 146.5);8.61345E-05
(-6.3, 3.9, 147.0);8.583729E-05
(-7.2, 3.9, 147.5);0.0001196767
(-8.0, 3.9, 148.0);0.0001021238
(-8.9, 3.8, 148.5);0.0001186169
(-9.8, 3.8, 149.0);8.438143E-05
(-10.6, 3.8, 149.5);6.729966E-05
(-11.5, 3.8, 150.0);6.711808E-05
(-12.4, 3.8, 150.5);6.693746E-05
(-13.2, 3.8, 151.0);5.008516E-05
(-14.1, 3.8, 151.6);4.998452E-05
(-14.9, 3.7, 152.1);4.988428E-05
(-15.8, 3.7, 152.6);6.635715E-05
(-16.7, 3.7, 153.1);3.311231E-05
(-17.5, 3.7, 153.6);4.958597E-05
(-18.4, 3.7, 154.1);3.300248E-05
(-19.2, 3.7, 154.6);3.295876E-05
(-20.1, 3.6, 155.1);3.291515E-05
(-21.0, 3.6, 155.6);0.0002135735
(-21.8, 3.6, 156.1);0.0002130108
(-22.7, 3.6, 156.6);0.0001961284
(-23.5, 3.6, 157.1);0.0002120331
(-24.4, 3.6, 157.6);4.880764E-05
(-25.3, 3.5, 158.2);4.871207E-05
(-26.1, 3.5, 158.7);4.861686E-05
(-27.0, 3.5, 159.2);3.235853E-05
(-27.9, 3.5, 159.7);3.23165E-05
(-28.7, 3.5, 160.2);3.227457E-05
(-29.6, 3.5, 160.7);3.223275E-05
(-30.4, 3.4, 161.2);3.219104E-05
(-31.3, 3.4, 161.7);3.214943E-05
(-32.2, 3.4, 162.2);3.210794E-05
(-32.0, 3.8, 161.2);3.206655E-05
(-31.8, 3.7, 160.3);3.202527E-05
(-31.6, 3.7, 159.3);3.198409E-05
(-31.4, 3.7, 158.3);3.194301E-05
(-31.2, 3.7, 157.3);3.190205E-05
(-31.0, 3.6, 156.3);3.186119E-05
(-30.8, 3.6, 155.4);3.182043E-05
(-30.6, 3.6, 154.4);3.177978E-05
(-30.4, 3.6, 153.4);3.173923E-05
(-30.2, 3.6, 152.4);3.169879E-05
(-30.0, 3.5, 151.4);4.747257E-05
(-29.8, 3.5, 150.5);4.738215E-05
(-29.6, 3.5, 149.5);3.153803E-05
(-29.4, 3.5, 148.5);3.14981E-05
(-29.2, 3.4, 147.5);4.717249E-05
(-29.0, 3.4, 146.5);4.708321E-05
(-28.9, 3.4, 145.5);4.699426E-05
(-28.7, 3.4, 144.6);4.690565E-05
(-28.5, 3.4, 143.6);4.681737E-05
(-28.3, 3.3, 142.6);4.672942E-05
(-28.1, 3.3, 141.6);4.66418E-05
(-27.9, 3.3, 140.6);4.655451E-05
(-27.7, 3.3, 139.7);4.646755E-05
(-27.5, 3.2, 138.7);4.638091E-05
(-27.3, 3.2, 137.7);4.629459E-05
(-27.1, 3.2, 136.7);1.54124E-05
(-26.9, 3.2, 135.7);3.079619E-05
(-26.7, 3.1, 134.8);3.075811E-05
(-26.5, 3.1, 133.8);3.072013E-05
(-26.3, 3.1, 132.8);3.068224E-05
(-26.1, 3.1, 131.8);3.064444E-05
(-25.9, 3.1, 130.8);3.060673E-05
(-25.7, 3.0, 129.9);3.056912E-05
